"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Cichorioideae","Rhamnaceae","Vitis","Brassicaceae","Typha angustifolia","Caryophyllaceae undiff.","Myriophyllum undiff.","Solidago-type","cf. Euphorbia","Indeterminable (crumpled)","Potamogeton","Galium-type","Fraxinus ornus","Indeterminable (broken)","Unknown (trilete)","Abies","Salix","Ulmus","Acer","Juglans","Amaranthaceae","Apiaceae undiff.","Cupressaceae-type","Fraxinus excelsior-type","Unknown undiff.","Betula","Pinus undiff.","Rumex","Carpinus betulus","Phillyrea","Olea","Unknown (monolete)","Corylus","Artemisia","Plantago","Castanea","Cyperaceae undiff.","Fagus","Ostrya","Alnus","Poaceae undiff.","Quercus undiff.","Potentilla-type","Rosaceae undiff.","Cedrus","Digitalis-type","Pteridium","Ericaceae","Typha latifolia","Hedera","Poaceae (Cerealia-type)","Humulus/Cannabis","Tilia","Ranunculus","Scilla-type","Achillea/Anthemis-type","Fabaceae undiff.","Asphodelus-type","Nymphaea","Centaurea solstitialis-type","Urtica-type","Pistacia","Quercus ilex","Cirsium","cf. Platanus","Poterium sanguisorba","Angiospermae undiff. (herbs)","Spermatophyta undiff. (trees/shrubs)","Polypodiophyta undiff.","Cladium","Asteraceae undiff.","Populus","Saxifragaceae","Ephedra fragilis-type","Menyanthes","Taxus","Thalictrum","Sambucus","Buxus","Filipendula","Viscum","Lonicera","Nuphar","Mentha-type","Cornaceae","Oxyria-type","Ilex","Hippophaë","cf. Centaurium","Primulaceae undiff.","Bryophyta undiff.","Boraginaceae undiff.","Ephedra distachya","Echium-type","Viburnum","Helianthemum","Centaurea cf. C. cyanus/montana-type","Serratula-type","Armeria","Allium-type","Bistorta officinalis-type","Equisetum","Indeterminable (degraded)","Clusiaceae/Hypericaceae cf. Hypericum","Picea","Campanulaceae","Resedaceae","Malvaceae undiff.","Geranium","cf. Alchemilla","Papaveraceae","Indeterminable (concealed)","Helleborus foetidus","Valeriana","Dipsacoideae","Thymelaeaceae cf. Daphne","Epilobium","cf. Androsace","Larix","Polypodium","Euonymus europaeus","Persicaria amphibia","Calligonum-type","Dryopteris","Ceratophyllum","cf. Frangula/Bruckenthalia","Pedicularis","Pinus subg. Strobus","Lemnoideae","Celtis","Sanguisorba officinalis","Fritillaria-type","Centaurea scabiosa","Scrophulariaceae","Sorbus","Liliaceae","Consolida ambigua-type","Helleborus viridis","Prunus spinosa","Sphagnum","Linum","Anagallis tenella","Anagallis arvensis","Scutellaria-type","Fumana","Pterocarya","Anemone nemorosa-type","Marrubium-type","Agrostemma githago","cf. Chrysosplenium","cf. Samolus valerandi","Fraxinus undiff.","Myriophyllum spicatum-type","Veronica-type","cf. Mercurialis","Myriophyllum verticillatum","Vicia","Trifolium-type","Lithospermum","Viola palustris-type","Tamarix","Bupleurum-type","cf. Epilobium","Myriophyllum alterniflorum","Persicaria maculosa-type","cf. Sedum","cf. Callitriche","Lotus","cf. Mentha","cf. Myrica","cf. Trichomanes","Ononis","cf. Elatine","cf. Circaea","cf. Larix","cf. Sambucus","cf. Daphne","Persicaria undiff.","cf. Onobrychis-type","cf. Helianthemum","Rosaceae cf. Geum","cf. Rutaceae"
60152,NA,NA,3833,"2","","","","1","1","","5","","1","","3","","1","","1","1","2","","","22","2","17","","","7","34","1","","","","","1","31","4","1","3","16","","","146","58","","","","","","","","","","","","1","","4","","","","5","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
60230,NA,NA,3854,"4","","","2","6","1","","3","","5","","10","","3","","5","","2","","","32","7","9","","1","4","47","","","","","1","1","69","","","3","13","1","1","163","29","","","","","","","","","","1","","","","4","1","","","1","","","","","","","","","","","","","","4","","","4","","","","","","","","1","","","","","","","","","","","1","","","1","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
60341,NA,NA,3861,"19","","","1","","10","","1","","7","1","3","","","","3","1","1","","","15","4","3","","","1","30","","","","","","","23","1","","2","2","","10","128","18","","","","","","","","","","","","3","","","","","","","","","","1","","","","","","","","","","2","","","2","","","","","1","","","","","","","","","","1","3","","","1","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
60461,NA,NA,3868.5,"8","","","","3","2","","3","","","","2","","2","","1","","3","1","","28","4","7","","","7","58","","4","","2","1","1","56","2","","3","17","3","7","189","33","","","","","","","","1","","","","","","2","1","","","1","","","","1","","","","","","","","","","1","","","3","1","","","","","","1","","","","1","","","","1","1","","","1","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
60731,NA,NA,3886,"4","","","","","1","","2","","1","","2","","","","","","2","","","23","1","4","1","1","1","45","1","1","","","1","","40","4","","8","5","1","","120","31","","","","","","","","","","","","1","","1","1","","","1","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
61091,NA,NA,3907,"6","","","","2","2","","5","","4","1","","","3","","1","","","","","8","1","2","","","","28","1","","","","","","22","3","","","","1","1","106","9","","","","","","","","","","","","","","1","1","","","4","","","","2","","","","","","","","","","2","","","","","","","","","","","","","","1","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
61331,NA,NA,3921,"2","","","1","1","","","1","","4","1","1","","2","","1","1","1","1","","10","6","3","","1","3","23","","","","","","1","25","3","","2","5","","2","81","27","","","","","","1","","","","","","3","","","","","","2","2","","","","","","","","","","","","","","","","","1","","","","","","2","","","","","","","","","2","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
61721,NA,NA,3943.3,"9","","","1","1","1","","","","2","","","","","","","","2","","","6","1","6","1","","6","25","","","","","2","","18","","","3","4","","","39","32","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
62004,NA,NA,3958.5,"4","","","","3","1","","","","","","1","","","","1","","3","","","13","3","15","1","","8","45","","1","","","2","","22","1","","7","8","1","1","122","19","","","","","","1","","","","","","2","","","1","","","1","","","","1","","","","","","","","","","2","","","","","","","","","","","1","","","1","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
62368,NA,NA,3975,"6","","","1","1","","","","","","1","4","","5","","1","","2","","","7","4","14","","","2","20","","","","","","1","13","","","3","9","1","","41","18","","","","","","","","","","","","1","","2","","","","","","","","1","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","2","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
62691,NA,NA,3992.5,"3","","","1","2","5","","1","","2","","2","","1","","3","","1","","","10","4","12","","","4","40","1","","","","1","1","38","1","","5","15","","3","100","17","","","","","","1","","","","1","","","","","","","","","","","","2","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
63176,NA,NA,4016.5,"5","","","","","4","","2","","3","","3","","1","","","","","1","","15","","4","","1","3","23","2","","","","","","11","","","4","9","","","61","12","","","","","","","","","","","","2","","1","","","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","1","4","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
63660,NA,NA,4041.7,"9","","","3","","4","","3","","4","","2","","","","1","","","","","15","2","33","","","3","48","1","","","","","","54","1","","2","12","","3","110","13","","","","","","","","","","","","1","","2","","","","","","","","1","","","","","","","","1","","2","","","","","","","","","","","","","","1","","","","","2","","","1","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
63822,NA,NA,4050,"3","","","1","4","2","","1","","3","1","5","","1","","1","","1","","","25","3","35","","","2","17","2","","","","","1","84","4","","","2","","","142","10","","","","","","","","","","","","","","2","","","","1","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
64154,NA,NA,4060.8,"3","","","8","3","2","","5","2","3","1","16","","1","1","","","","1","","40","14","8","","1","2","36","1","","","","","","121","","","2","6","1","5","188","22","","","","","","","","","","","","1","","10","","","","1","","","","2","","","","","","","","","","5","","","","","","1","","","","","","","","","","","","","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
64283,NA,NA,4075.1,"6","","","","1","1","","1","","3","","","","","","","","1","","","11","2","11","","","5","15","1","1","","1","","","16","1","","1","6","","4","73","10","","","","","","","","","","","","","","1","","","","","","","","1","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
64412,NA,NA,4090.5,"1","","","","1","2","","1","4","2","","1","","1","1","1","","1","","","26","4","84","","1","4","33","","","","","","1","67","3","","8","6","","1","141","12","","","","","","","","","","","","","","4","","","","","","","","3","","","","","","","","","","6","","","1","","","","","","","","","","","1","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
64594,NA,NA,4103.5,"1","","","1","","1","","5","1","3","","4","","","","5","","1","","","81","4","144","","1","2","30","","","","","","","128","4","","2","5","3","1","228","7","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","2","","","2","","","","","","","","","","","2","","","","","1","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
64824,NA,NA,4119,"4","","","2","","1","","1","1","2","","3","","","","3","1","","1","","61","2","66","","1","","12","2","","","","","","126","4","","6","2","","1","184","7","","","","","","","","","","","","","","5","","","","1","","","","","","","","","","","","","","2","","","","","","","","","","","","","","2","","","","","4","","","1","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
65054,NA,NA,4133,"10","","1","3","1","3","","1","","8","","7","","3","","2","","","","","53","5","48","","6","","27","1","","","","","","79","3","","5","6","","1","110","5","","1","","","","","","","","","","","","3","","","","","","","","1","","","","","","","","2","","1","","2","3","","","1","","","","1","","","","1","","","","","2","","","","","","","","1","","3","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
65226,NA,NA,4148,"10","","","","","","","3","","","","1","","1","","1","","1","","","35","6","87","","","","20","1","","","","","","97","2","","6","3","","2","148","10","","","","","","","","","","","","","","3","","","","","","","","1","","","","","","","","","","5","","","","","","","","","","","","","","2","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
65456,NA,NA,4162.5,"5","","","","","4","","3","","4","","3","","2","","","","1","2","","86","4","74","","","2","33","1","3","","","","1","121","6","","4","9","1","3","87","23","","","","","","","1","","","","","","","7","1","","","1","","","","2","","","","","","","","","","2","","","3","","","","","","","","","","","1","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
