Taxon (original name),Taxon (revised nomenclature),Family name,Pollen habit (code),Pollen habit (name),Plant habit,,,,,
Triumfetta rhomboiidea Type,Triumfetta-type rhomboidea,TILIACEAE,N,herb,herb (weed),,,,,
Type Corchorus,Corchorus-type,ACANTHACEAE,N,herb,Branching annual (or perennial) herb 0,,,,,
Cf Parietaria,Parietaria-type ruwenzoriensis,URTICACEAE,N,herb,annual or perennial herb,,,,,
cf Parietaria sp,Parietaria-type ruwenzoriensis,URTICACEAE,N,herb,annual or perennial herb,,,,,
cf Pilea,Pilea-type,URTICACEAE,N,herb,annual or perennial herbs,,,,,
cf. Drognetia,Droguetia,URTICACEAE,N,herb,slender annual or perennial herbs,,,,,
cf. Droguetia,Droguetia,URTICACEAE,N,herb,slender annual or perennial herbs,,,,,
cf. Pilea,Pilea-type,URTICACEAE,N,herb,annual or perennial herbs,,,,,
Cfr Parietaria,Parietaria-type ruwenzoriensis,URTICACEAE,N,herb,annual or perennial herb,,,,,
Drognetia,Droguetia,URTICACEAE,N,herb,slender annual or perennial herbs,,,,,
Droguetia,Droguetia,URTICACEAE,N,herb,slender annual or perennial herbs,,,,,
Fleurya-type aestuans,Laportea-type aestuans,URTICACEAE,N,herb,erect annual herb to 1 m tall,,,,,
Laportea-type aestuans,Laportea-type aestuans,URTICACEAE,N,herb,erect annual herb to 1 m tall,,,,,
Laportea-type aestuens,Laportea-type aestuans,URTICACEAE,N,herb,erect annual herb to 1 m tall,,,,,
Laportea-type ovalifolia,Laportea-type ovalifolia,URTICACEAE,N,herb,perennial herb up to 2 m tall,,,,,
Parietaria/Urtica dioica type,Parietaria/Urtica,URTICACEAE,N,herb,herbs,,,,,
Pilea,Pilea-type,URTICACEAE,N,herb,annual or perennial herbs,,,,,
Pilea type,Pilea-type,URTICACEAE,N,herb,annual or perennial herbs,,,,,
Pilea-type,Pilea-type,URTICACEAE,N,herb,annual or perennial herbs,,,,,
Pilea-type bambuseti,Pilea-type bambuseti,URTICACEAE,N,herb,perennial herb 0.9 m tall,,,,,
type Urtica,Urtica-type,URTICACEAE,N,herb,erect,,,,,
Urtica,Urtica-type,URTICACEAE,N,herb,erect,,,,,
Urtica cf. pilulifera,Urtica-type pilulifera,URTICACEAE,N,herb,erect annual ruderal herb,,,,,
Urtica dioica type,Urtica-type dioica,URTICACEAE,N,herb,erect,,,,,
Urtica dioica-type,Urtica-type dioica,URTICACEAE,N,herb,erect,,,,,
Urtica pilulifera-type,Urtica-type pilulifera,URTICACEAE,N,herb,erect annual ruderal herb,,,,,
Urtica type,Urtica-type,URTICACEAE,N,herb,erect,,,,,
Urticaceae Pilea Typ,Pilea-type,URTICACEAE,N,herb,annual or perennial herbs,,,,,
Urticaria/Humulus type,Urtica/Humulus,URTICACEAE,N,herb,herb,,,,,
Urtica-type,Urtica-type,URTICACEAE,N,herb,erect,,,,,
cf Vahlia,Vahlia,VAHLIACEAE,N,herb,annual or perennial herbs,,,,,
Vahlia,Vahlia,VAHLIACEAE,N,herb,annual or perennial herbs,,,,,
Vahlia dichotoma-type,Vahlia dichotoma-type,VAHLIACEAE,N,herb,erect branching annual herb 12-51 cm high,,,,,
Vahlia somalensis,Vahlia somalensis-type,VAHLIACEAE,N,herb,much-branched herbaceous to woody annual or perennial herb,,,,,
Vahlia somalensis-type,Vahlia somalensis-type,VAHLIACEAE,N,herb,much-branched herbaceous to woody annual or perennial herb,,,,,
Valeriana,Valeriana,VALERIANACEAE,N,herb,perennial herbs,,,,,
Valeriana cf.,Valeriana,VALERIANACEAE,N,herb,perennial herbs,,,,,
Valerianaceae,Valerianaceae undiff.,VALERIANACEAE,N,herb,annual or perennial herbs,,,,,
Valerianaceae undiff.,Valerianaceae undiff.,VALERIANACEAE,N,herb,annual or perennial herbs,,,,,
Valerianaceae Valeriana,Valeriana,VALERIANACEAE,N,herb,perennial herbs,,,,,
Valerianacees,Valerianaceae undiff.,VALERIANACEAE,N,herb,annual or perennial herbs,,,,,
Valerianacées,Valerianaceae undiff.,VALERIANACEAE,N,herb,annual or perennial herbs,,,,,
cf. Svensonia,Chascanum,VERBENACEAE,N,herb,erect or spreading perennial herbs or undershrubs,,,,,
Chascanium,Chascanum,VERBENACEAE,N,herb,erect or spreading perennial herbs or undershrubs,,,,,
Lantana* ukambensis,Lantana-type ukambensis,VERBENACEAE,N,herb,subshrubby herb 0.3-1.5 m,,,,,
Lantana-type ukambensis,Lantana-type ukambensis,VERBENACEAE,N,herb,subshrubby herb 0.3-1.5 m,,,,,
Lippia cf. ukambensis,Lantana-type ukambensis,VERBENACEAE,N,herb,subshrubby herb 0.3-1.5 m,,,,,
Lippia nodiflora,Phyla-type nodiflora,VERBENACEAE,N,herb,prostrate creeping herb,,,,,
Lippia-type ukambensis,Lantana-type ukambensis,VERBENACEAE,N,herb,subshrubby herb 0.3-1.5 m,,,,,
Phyla,Phyla-type,VERBENACEAE,N,herb,trailing perennial herbs,,,,,
Phyla cf. nodiflora,Phyla-type nodiflora,VERBENACEAE,N,herb,prostrate creeping herb,,,,,
Phyla nodiflora,Phyla-type nodiflora,VERBENACEAE,N,herb,prostrate creeping herb,,,,,
Phyla nodifolia,Phyla-type nodiflora,VERBENACEAE,N,herb,prostrate creeping herb,,,,,
Phyla-type,Phyla-type,VERBENACEAE,N,herb,trailing perennial herbs,,,,,
Phyla-type nodiflora,Phyla-type nodiflora,VERBENACEAE,N,herb,prostrate creeping herb,,,,,
Stachytapheta,Stachytarpheta,VERBENACEAE,N,herb,annual or perennial herbs or subshrubs,,,,,
Stachytarfeta,Stachytarpheta,VERBENACEAE,N,herb,annual or perennial herbs or subshrubs,,,,,
Stachytarfeta-type,Stachytarpheta,VERBENACEAE,N,herb,annual or perennial herbs or subshrubs,,,,,
Stachytarpheta,Stachytarpheta,VERBENACEAE,N,herb,annual or perennial herbs or subshrubs,,,,,
Stachytarpheta-type,Stachytarpheta,VERBENACEAE,N,herb,annual or perennial herbs or subshrubs,,,,,
Stachytarpheta-type angustifolia,Stachytarpheta indica-type,VERBENACEAE,N,herb,herb 30 to 40 cm tall,,,,,
Type Stachytarpheta,Stachytarpheta,VERBENACEAE,N,herb,annual or perennial herbs or subshrubs,,,,,
Violaceae Viola,Viola,VIOLACEAE,N,herb,Perennial herb,,,,,
Aframomum elliottii,Aframomum elliottii-type,ZINGIBERACEAE,N,herb,large perennial herb,,,,,
Costus lucanusianus,Costus lucanusianus-type,ZINGIBERACEAE,N,herb,herb with erect leafsystems 1.5-3 m tall,,,,,
Fagonia zygophylloides-type,Fagonia zilloides-type,ZYGOPHYLLACEAE,N,herb,subshrub,,,,,
Peganum,Peganum,ZYGOPHYLLACEAE,N,herb,erect perennial herbs or subshrubs,,,,,
Peganum cf. harmala,Peganum harmala-type,ZYGOPHYLLACEAE,N,herb,erect perennial herb or subshrub up up to 50 cm high,,,,,
Tribulus,Tribulus,ZYGOPHYLLACEAE,N,herb,herbs,,,,,
TRIBULUS,Tribulus,ZYGOPHYLLACEAE,N,herb,herbs,,,,,
Tribulus cf. terrestris,Tribulus terrestris-type,ZYGOPHYLLACEAE,N,herb,herb,,,,,
Tribulus terresrtis,Tribulus terrestris-type,ZYGOPHYLLACEAE,N,herb,herb,,,,,
Tribulus terrestris-type,Tribulus terrestris-type,ZYGOPHYLLACEAE,N,herb,herb,,,,,
Zygophyllaceae Tribulus,Tribulus,ZYGOPHYLLACEAE,N,herb,herbs,,,,,
Zygophyllum simplex-type,Tetraena-type simplex,ZYGOPHYLLACEAE,N,herb,annual prostrate herb,,,,,
Cf Ricinus,Ricinus communis,EUPHORBIACEAE,NG,giant herb,erect annual or perennial herb commonly up to 5 m,,,,,
cf. Ricinus,Ricinus communis,EUPHORBIACEAE,NG,giant herb,erect annual or perennial herb commonly up to 5 m,,,,,
Euphorbiaceae cf. Ricinus communis,Ricinus communis,EUPHORBIACEAE,NG,giant herb,erect annual or perennial herb commonly up to 5 m,,,,,
Ricinus,Ricinus communis,EUPHORBIACEAE,NG,giant herb,erect annual or perennial herb commonly up to 5 m,,,,,
RICINUS COMMUNIS,Ricinus communis,EUPHORBIACEAE,NG,giant herb,erect annual or perennial herb commonly up to 5 m,,,,,
Ricinus comunis,Ricinus communis,EUPHORBIACEAE,NG,giant herb,erect annual or perennial herb commonly up to 5 m,,,,,
Arundinaria,Oldeania alpina,POACEAE,NG,giant herb,evergreen herb, shrubby or tree-like bamboo, culms 2-19.5 m high,,,
Cercestis,Cercestis-type,ARACEAE,NL,herb/climbing herb,(Climbing) herb,,,,,
Culcasia,Culcasia,ARACEAE,NL,herb/climbing herb,lianescent or creeping,,,,,
T. Culcasia,Culcasia,ARACEAE,NL,herb/climbing herb,lianescent or creeping,,,,,
Basella,Basella,BASELLACEAE,NL,herb/climbing herb,climbing glabrous herbs,,,,,
Basella alba-type,Basella alba-type,BASELLACEAE,NL,herb/climbing herb,glabrous twining climber,,,,,
Begonia meyeri-johanis,Begonia meyeri-johannis-type,BEGONIACEAE,NL,herb/climbing herb,woody herbaceous climber,,,,,
Begoniaceae,Begonia,BEGONIACEAE,NL,herb/climbing herb,herbs or undershrubs,,,,,
Begoniaceae Begonia Type,Begonia,BEGONIACEAE,NL,herb/climbing herb,herbs or undershrubs,,,,,
Canabis/Humulus,Cannabis/Humulus,CANNABACEAE,NL,herb/climbing herb,erect annual herb or  climbing perennial herbs,,,,,
cf Cannabis/Humulus,Cannabis/Humulus,CANNABACEAE,NL,herb/climbing herb,erect annual herb or  climbing perennial herbs,,,,,
Cucurbitaceae (C4P4),Cucurbitaceae undiff.,CUCURBITACEAE,NL,herb/climbing herb,prostrate or climbing herbs with tendrils,,,,,
Cucurbitaceae Indéterminées,Cucurbitaceae undiff.,CUCURBITACEAE,NL,herb/climbing herb,prostrate or climbing herbs with tendrils,,,,,
Cucurbitaceae type,Cucurbitaceae undiff.,CUCURBITACEAE,NL,herb/climbing herb,prostrate or climbing herbs with tendrils,,,,,
Cucurbitaceae undiff.,Cucurbitaceae undiff.,CUCURBITACEAE,NL,herb/climbing herb,prostrate or climbing herbs with tendrils,,,,,
Kedrostis* foetidissima,Kedrostis foetidissima-type,CUCURBITACEAE,NL,herb/climbing herb,perennial herb climbing or trailing to 2 m,,,,,
Kedrostis-type,Kedrostis,CUCURBITACEAE,NL,herb/climbing herb,small to medium-sized climbing or trailing herbs,,,,,
Kredrotis type,Kedrostis,CUCURBITACEAE,NL,herb/climbing herb,small to medium-sized climbing or trailing herbs,,,,,
Luffa aegyptiaca,Luffa-type cylindrica,CUCURBITACEAE,NL,herb/climbing herb,climbing or trailing herb to 15 m,,,,,
Luffa sp.,Luffa-type,CUCURBITACEAE,NL,herb/climbing herb,climbing or trailing herbs,,,,,
Luffa-type cylindrica,Luffa-type cylindrica,CUCURBITACEAE,NL,herb/climbing herb,climbing or trailing herb to 15 m,,,,,
Momordica rostrata-type,Momordica-type rostrata,CUCURBITACEAE,NL,herb/climbing herb,climbing herb to 7 m,,,,,
Cyperacaea,Cyperaceae undiff.,CYPERACEAE,NL,herb/climbing herb,annual or perennial herbs,,,,,
Cyperaceae,Cyperaceae undiff.,CYPERACEAE,NL,herb/climbing herb,annual or perennial herbs,,,,,
Cyperaceae ( 2 espèces ),Cyperaceae undiff.,CYPERACEAE,NL,herb/climbing herb,annual or perennial herbs,,,,,
Cyperaceae (Africa),Cyperaceae undiff.,CYPERACEAE,NL,herb/climbing herb,annual or perennial herbs,,,,,
Cyperaceae Ind‚termin‚es,Cyperaceae undiff.,CYPERACEAE,NL,herb/climbing herb,annual or perennial herbs,,,,,
Cyperaceae Indeterminees,Cyperaceae undiff.,CYPERACEAE,NL,herb/climbing herb,annual or perennial herbs,,,,,
Cyperaceae type 2,Cyperaceae undiff.,CYPERACEAE,NL,herb/climbing herb,annual or perennial herbs,,,,,
Cyperaceae undiff.,Cyperaceae undiff.,CYPERACEAE,NL,herb/climbing herb,annual or perennial herbs,,,,,
Cyperacees,Cyperaceae undiff.,CYPERACEAE,NL,herb/climbing herb,annual or perennial herbs,,,,,
Cypéracées,Cyperaceae undiff.,CYPERACEAE,NL,herb/climbing herb,annual or perennial herbs,,,,,
Scleria sp,Scleria-type,CYPERACEAE,NL,herb/climbing herb,slender annual or perennial herbs,,,,,
Cf Dioscorea,Dioscorea,DIOSCOREACEAE,NL,herb/climbing herb,twining or climbing dioecious pubescent or glabrous herbs,,,,,
Dioscorea dumetorum-type,Dioscorea dumetorum-type,DIOSCOREACEAE,NL,herb/climbing herb,spiny herbaceous climber 2.5 m high,,,,,
Dioscorea fandra-type,Dioscorea fandra-type,DIOSCOREACEAE,NL,herb/climbing herb,herbaceous climber to 1.5 m,,,,,
DIOSCOREA SP.,Dioscorea,DIOSCOREACEAE,NL,herb/climbing herb,twining or climbing dioecious pubescent or glabrous herbs,,,,,
Dioscoreaceae,Dioscorea,DIOSCOREACEAE,NL,herb/climbing herb,twining or climbing dioecious pubescent or glabrous herbs,,,,,
Tribulus sp.,Tribulus,ZYGOPHYLLACEAE,N,herb,herbs,,,,,
Tribulus terrestris,Tribulus terrestris-type,ZYGOPHYLLACEAE,N,herb,herb,,,,,
Zygophillum simplex-type,Tetraena-type simplex,ZYGOPHYLLACEAE,N,herb,annual prostrate herb,,,,,
Zygophyllum simplex,Tetraena-type simplex,ZYGOPHYLLACEAE,N,herb,annual prostrate herb,,,,,
Angraecum distichum,Angraecum distichum-type,ORCHIDACEAE,N,herb,epiphytic herb,,,,,
cf Ricinus,Ricinus communis,EUPHORBIACEAE,NG,giant herb,erect annual or perennial herb commonly up to 5 m,,,,,
cf. Ricinus communis,Ricinus communis,EUPHORBIACEAE,NG,giant herb,erect annual or perennial herb commonly up to 5 m,,,,,
Ricinum communis,Ricinus communis,EUPHORBIACEAE,NG,giant herb,erect annual or perennial herb commonly up to 5 m,,,,,
Ricinus communis,Ricinus communis,EUPHORBIACEAE,NG,giant herb,erect annual or perennial herb commonly up to 5 m,,,,,
Ricinus communis-type,Ricinus communis,EUPHORBIACEAE,NG,giant herb,erect annual or perennial herb commonly up to 5 m,,,,,
Ricinus?,Ricinus communis,EUPHORBIACEAE,NG,giant herb,erect annual or perennial herb commonly up to 5 m,,,,,
Sinarundinaria alpina,Oldeania alpina,POACEAE,NG,giant herb,evergreen herb, shrubby or tree-like bamboo, culms 2-19.5 m high,,,
Cercestis congoensis,Cercestis-type congoensis,ARACEAE,NL,herb/climbing herb,Semi-epiphytic herb,,,,,
Culcasia scandens,Culcasia scandens-type,ARACEAE,NL,herb/climbing herb,epiphytic climbing herb,,,,,
Aristolochia ridicula,Aristolochia ridicula,ARISTOLOCHIACEAE,NL,herb/climbing herb,lianas,,,,,
Basella alba,Basella alba-type,BASELLACEAE,NL,herb/climbing herb,glabrous twining climber,,,,,
Begonia,Begonia,BEGONIACEAE,NL,herb/climbing herb,herbs or undershrubs,,,,,
Begonia meyeri-johansis,Begonia meyeri-johannis-type,BEGONIACEAE,NL,herb/climbing herb,woody herbaceous climber,,,,,
Begoniaceae Begonia,Begonia,BEGONIACEAE,NL,herb/climbing herb,herbs or undershrubs,,,,,
Begonia-type,Begonia,BEGONIACEAE,NL,herb/climbing herb,herbs or undershrubs,,,,,
Cannabis/Humulus,Cannabis/Humulus,CANNABACEAE,NL,herb/climbing herb,erect annual herb or  climbing perennial herbs,,,,,
Gloriosa sp.,Gloriosa,COLCHICACEAE,NL,herb/climbing herb,herbs,,,,,
GLORIOSA SUPERBA,Gloriosa superba-type,COLCHICACEAE,NL,herb/climbing herb,Herb erect,,,,,
Aniseia-type martinicensis,Aniseia martinicensis,CONVOLVULACEAE,NL,herb/climbing herb,twining perennial herb,,,,,
Calystegia-type,Calystegia-type hederacea,CONVOLVULACEAE,NL,herb/climbing herb,twining herb,,,,,
Convolvolus-type,Convolvulus-type,CONVOLVULACEAE,NL,herb/climbing herb,annual or perennial herbs with erect,,,,,
Convolvulus,Convolvulus-type,CONVOLVULACEAE,NL,herb/climbing herb,annual or perennial herbs with erect,,,,,
Convolvulus*,Convolvulus-type,CONVOLVULACEAE,NL,herb/climbing herb,annual or perennial herbs with erect,,,,,
Convovulus,Convolvulus-type,CONVOLVULACEAE,NL,herb/climbing herb,annual or perennial herbs with erect,,,,,
Convulaceae,Convolvulus-type,CONVOLVULACEAE,NL,herb/climbing herb,annual or perennial herbs with erect,,,,,
Convulvulaceae,Convolvulus-type,CONVOLVULACEAE,NL,herb/climbing herb,annual or perennial herbs with erect,,,,,
Cuscuta,Cuscuta-type,CONVOLVULACEAE,NL,herb/climbing herb,annual twining herbaceous,,,,,
Cuscuta-type,Cuscuta-type,CONVOLVULACEAE,NL,herb/climbing herb,annual twining herbaceous,,,,,
Ipomoea involucrata,Ipomoea-type involucrata,CONVOLVULACEAE,NL,herb/climbing herb,annual or perennial herb,,,,,
Merremia hederacea,Merremia-type hederacea,CONVOLVULACEAE,NL,herb/climbing herb,twining or prostrate herb,,,,,
Merremia tridentata,Xenostegia-type tridentata,CONVOLVULACEAE,NL,herb/climbing herb,perennial herb with prostrate or twining stems up to 2 m long,,,,,
Merremia-type hederacea,Merremia-type hederacea,CONVOLVULACEAE,NL,herb/climbing herb,twining or prostrate herb,,,,,
Cf Cucurbitaceae,Cucurbitaceae undiff.,CUCURBITACEAE,NL,herb/climbing herb,prostrate or climbing herbs with tendrils,,,,,
cf Momordica boivinii,Momordica-type boivinii,CUCURBITACEAE,NL,herb/climbing herb,Herb climbing or trailing to 2 m long,,,,,
cf. Kedrostis,Kedrostis,CUCURBITACEAE,NL,herb/climbing herb,small to medium-sized climbing or trailing herbs,,,,,
Coccina,Coccinia,CUCURBITACEAE,NL,herb/climbing herb,medium-sized climbing or trailing herbs,,,,,
Coccinia,Coccinia,CUCURBITACEAE,NL,herb/climbing herb,medium-sized climbing or trailing herbs,,,,,
COCCINIA GRANDIS,Coccinia grandis-type,CUCURBITACEAE,NL,herb/climbing herb,perennial climbing or trailing herb to 20 m,,,,,
Coccinia-type,Coccinia,CUCURBITACEAE,NL,herb/climbing herb,medium-sized climbing or trailing herbs,,,,,
Cogniauxia,Cogniauxia,CUCURBITACEAE,NL,herb/climbing herb,climbing herb,,,,,
Cucumis dispaceus,Cucumis dipsaceus-type,CUCURBITACEAE,NL,herb/climbing herb,annual climbing or trailing herb,,,,,
Cucumis sp.,Cucumis,CUCURBITACEAE,NL,herb/climbing herb,climbing or trailing herbs,,,,,
Cucumis-type dipsacaceus,Cucumis dipsaceus-type,CUCURBITACEAE,NL,herb/climbing herb,annual climbing or trailing herb,,,,,
Cucurbitaceae,Cucurbitaceae undiff.,CUCURBITACEAE,NL,herb/climbing herb,prostrate or climbing herbs with tendrils,,,,,
Phyllanthus cf. fischeri,Phyllanthus-type fischeri,EUPHORBIACEAE,NL,herb/climbing herb,erect or scandent herb or subshrub up to 3 m tall,,,,,
cf Vicia,Vicia-type,FABACEAE,NL,herb/climbing herb,annual or perennial herbs,,,,,
cf. Rhynchosia,Rhynchosia-type,FABACEAE,NL,herb/climbing herb,climbing,,,,,
Clitoria Type,Clitoria-type,FABACEAE,NL,herb/climbing herb,Perennial climbing herb,,,,,
Macrotyloma axillare-type,Macrotyloma axillare-type,FABACEAE,NL,herb/climbing herb,climbing or trailing herb up to 3.5 m long,,,,,
PHASELOUS  VULGARIS,Phaseolus vulgaris-type,FABACEAE,NL,herb/climbing herb,annual herb erect,,,,,
Rhinchosia-type,Rhynchosia-type,FABACEAE,NL,herb/climbing herb,climbing,,,,,
Rhynchosia sp.,Rhynchosia-type,FABACEAE,NL,herb/climbing herb,climbing,,,,,
RHYNCHOSIA*,Rhynchosia-type,FABACEAE,NL,herb/climbing herb,climbing,,,,,
Rhynchosia-type,Rhynchosia-type,FABACEAE,NL,herb/climbing herb,climbing,,,,,
Rhyncosia-type,Rhynchosia-type,FABACEAE,NL,herb/climbing herb,climbing,,,,,
t.Lathyrus/Vicia,Lathyrus/Vicia,FABACEAE,NL,herb/climbing herb,herbs often climbing,,,,,
Vicia,Vicia-type,FABACEAE,NL,herb/climbing herb,annual or perennial herbs,,,,,
Vicia(/Pisum cf.),Vicia/Pisum,FABACEAE,NL,herb/climbing herb,herbs,,,,,
Vigna,Vigna-type,FABACEAE,NL,herb/climbing herb,climbing,,,,,
Vigna luteola,Vigna-type luteola,FABACEAE,NL,herb/climbing herb,perennial herbaceous climber,,,,,
Vigna-type luteola,Vigna-type luteola,FABACEAE,NL,herb/climbing herb,perennial herbaceous climber,,,,,
Swertia type,Swertia-type,GENTIANACEAE,NL,herb/climbing herb,annual or perennial herbs,,,,,
Swertia-type,Swertia-type,GENTIANACEAE,NL,herb/climbing herb,annual or perennial herbs,,,,,
Stephania* abyssinica,Stephania-type abyssinica,MENISPERMACEAE,NL,herb/climbing herb,twining herb up to 5 m,,,,,
Commicarpus,Commicarpus-type,NYCTAGINACEAE,NL,herb/climbing herb,perennial herbs,,,,,
Commicarpus stellatus-type,Commicarpus-type helenae,NYCTAGINACEAE,NL,herb/climbing herb,perennial herb,,,,,
Commicurpus,Commicarpus-type,NYCTAGINACEAE,NL,herb/climbing herb,perennial herbs,,,,,
Acroceras zizanioides,Acroceras zizanoides-type,POACEAE,NL,herb/climbing herb,perennial herb, culms slender,,,,
Galium (-- G. ruwenzoriense),Galium-type ruwenzoriense,RUBIACEAE,NL,herb/climbing herb,scrambling or climbing herb 0.3-1.9 (-5) m long,,,,,
Rubia,Rubia-type,RUBIACEAE,NL,herb/climbing herb,scrambling,,,,,
Rubia-type,Rubia-type,RUBIACEAE,NL,herb/climbing herb,scrambling,,,,,
Cardiospermum halicacabum-type,Cardiospermum halicacabum-type,SAPINDACEAE,NL,herb/climbing herb,annual herbaceous climber to 3-5 m,,,,,
Priva-type,Priva,VERBENACEAE,NL,herb/climbing herb,erect or ascending perennial herbs,,,,,
Gloriosa superba,Gloriosa superba-type,COLCHICACEAE,NL,herb/climbing herb,Herb erect,,,,,
Aniseia martinicensis,Aniseia martinicensis,CONVOLVULACEAE,NL,herb/climbing herb,twining perennial herb,,,,,
Calystegia,Calystegia-type hederacea,CONVOLVULACEAE,NL,herb/climbing herb,twining herb,,,,,
Convolvolus,Convolvulus-type,CONVOLVULACEAE,NL,herb/climbing herb,annual or perennial herbs with erect,,,,,
Convolvulaceae Convolvulus,Convolvulus-type,CONVOLVULACEAE,NL,herb/climbing herb,annual or perennial herbs with erect,,,,,
Convolvulus Type,Convolvulus-type,CONVOLVULACEAE,NL,herb/climbing herb,annual or perennial herbs with erect,,,,,
Convolvulus-type,Convolvulus-type,CONVOLVULACEAE,NL,herb/climbing herb,annual or perennial herbs with erect,,,,,
Convovulus-type,Convolvulus-type,CONVOLVULACEAE,NL,herb/climbing herb,annual or perennial herbs with erect,,,,,
Convulvaceae,Convolvulus-type,CONVOLVULACEAE,NL,herb/climbing herb,annual or perennial herbs with erect,,,,,
Convulvulus,Convolvulus-type,CONVOLVULACEAE,NL,herb/climbing herb,annual or perennial herbs with erect,,,,,
Cuscuta sp.,Cuscuta-type,CONVOLVULACEAE,NL,herb/climbing herb,annual twining herbaceous,,,,,
Ipomoea cairica,Ipomoea-type cairica,CONVOLVULACEAE,NL,herb/climbing herb,perennial herb, stems twining or prostrate,,,,
Lepistemon owariense-type,Lepistemon owariensis-type,CONVOLVULACEAE,NL,herb/climbing herb,climbing perennial herb,,,,,
Merremia hederacea-type,Merremia-type hederacea,CONVOLVULACEAE,NL,herb/climbing herb,twining or prostrate herb,,,,,
Merremia tridentata-type,Xenostegia-type tridentata,CONVOLVULACEAE,NL,herb/climbing herb,perennial herb with prostrate or twining stems up to 2 m long,,,,,
Bryonia,Bryonia-type,CUCURBITACEAE,NL,herb/climbing herb,perennial climbing plant,,,,,
cf Cucurbitaceae,Cucurbitaceae undiff.,CUCURBITACEAE,NL,herb/climbing herb,prostrate or climbing herbs with tendrils,,,,,
cf. Coccinia,Coccinia,CUCURBITACEAE,NL,herb/climbing herb,medium-sized climbing or trailing herbs,,,,,
Citrullus,Citrullus,CUCURBITACEAE,NL,herb/climbing herb,annnual or tuberous-rooted perennial trailing or climbing herbs,,,,,
Coccina-type grandis,Coccinia grandis-type,CUCURBITACEAE,NL,herb/climbing herb,perennial climbing or trailing herb to 20 m,,,,,
Coccinia grandis,Coccinia grandis-type,CUCURBITACEAE,NL,herb/climbing herb,perennial climbing or trailing herb to 20 m,,,,,
Coccinia* grandis,Coccinia grandis-type,CUCURBITACEAE,NL,herb/climbing herb,perennial climbing or trailing herb to 20 m,,,,,
Coccinia-type grandis,Coccinia grandis-type,CUCURBITACEAE,NL,herb/climbing herb,perennial climbing or trailing herb to 20 m,,,,,
Cucumis,Cucumis,CUCURBITACEAE,NL,herb/climbing herb,climbing or trailing herbs,,,,,
Cucumis dispaceus-type,Cucumis dipsaceus-type,CUCURBITACEAE,NL,herb/climbing herb,annual climbing or trailing herb,,,,,
Cucumis-type,Cucumis,CUCURBITACEAE,NL,herb/climbing herb,climbing or trailing herbs,,,,,
Cucumis-type dipsaceus,Cucumis dipsaceus-type,CUCURBITACEAE,NL,herb/climbing herb,annual climbing or trailing herb,,,,,
CUCURBITACEAE,Cucurbitaceae undiff.,CUCURBITACEAE,NL,herb/climbing herb,prostrate or climbing herbs with tendrils,,,,,
Cucurbitaceae Ind‚termin‚es,Cucurbitaceae undiff.,CUCURBITACEAE,NL,herb/climbing herb,prostrate or climbing herbs with tendrils,,,,,
Cucurbitaceae Indeterminees,Cucurbitaceae undiff.,CUCURBITACEAE,NL,herb/climbing herb,prostrate or climbing herbs with tendrils,,,,,
Cucurbitaceae type 7 (Zehneria),Zehneria,CUCURBITACEAE,NL,herb/climbing herb,small to medium-sized climbing herbs,,,,,
Kedrostis,Kedrostis,CUCURBITACEAE,NL,herb/climbing herb,small to medium-sized climbing or trailing herbs,,,,,
KEDROSTIS*FOETIDISSIMA,Kedrostis foetidissima-type,CUCURBITACEAE,NL,herb/climbing herb,perennial herb climbing or trailing to 2 m,,,,,
Kedrostis-type foetidissima,Kedrostis foetidissima-type,CUCURBITACEAE,NL,herb/climbing herb,perennial herb climbing or trailing to 2 m,,,,,
Luffa,Luffa-type,CUCURBITACEAE,NL,herb/climbing herb,climbing or trailing herbs,,,,,
Luffa aegyptica,Luffa-type cylindrica,CUCURBITACEAE,NL,herb/climbing herb,climbing or trailing herb to 15 m,,,,,
Luffa cylindrica-type,Luffa-type cylindrica,CUCURBITACEAE,NL,herb/climbing herb,climbing or trailing herb to 15 m,,,,,
Luffa-type,Luffa-type,CUCURBITACEAE,NL,herb/climbing herb,climbing or trailing herbs,,,,,
Momordica rostrata,Momordica-type rostrata,CUCURBITACEAE,NL,herb/climbing herb,climbing herb to 7 m,,,,,
Physedra eglandulosa,Ruthalicia eglandulosa-type,CUCURBITACEAE,NL,herb/climbing herb,climbing herb up to 6 m,,,,,
Cyperacea,Cyperaceae undiff.,CYPERACEAE,NL,herb/climbing herb,annual or perennial herbs,,,,,
CYPERACEAE,Cyperaceae undiff.,CYPERACEAE,NL,herb/climbing herb,annual or perennial herbs,,,,,
Cyperaceae (2 especes au moins),Cyperaceae undiff.,CYPERACEAE,NL,herb/climbing herb,annual or perennial herbs,,,,,
Cyperaceae autre espèce,Cyperaceae undiff.,CYPERACEAE,NL,herb/climbing herb,annual or perennial herbs,,,,,
Cyperaceae Indéterminées,Cyperaceae undiff.,CYPERACEAE,NL,herb/climbing herb,annual or perennial herbs,,,,,
Cyperaceae type 1,Cyperaceae undiff.,CYPERACEAE,NL,herb/climbing herb,annual or perennial herbs,,,,,
Cyperaceae type 3,Cyperaceae undiff.,CYPERACEAE,NL,herb/climbing herb,annual or perennial herbs,,,,,
