Depth,Giesecke et al. 2014 (MADCAP)Calibrated radiocarbon years BP,EPDRadiocarbon years BP,FossilvaRadiocarbon years BP,Abies,Acer,Achillea,Allium,Alnus,Amaranthaceae,Apiaceae,Artemisia,Asteroideae,Betula,Brassicaceae,Buxus,Carpinus,Caryophyllaceae,Centaurea montana,Centaurea nigra,Centaurea scabiosa,Cichorioideae,Cirsium,Corylus,Cyperaceae,Dryopterisspore,Ephedra distachya,Ephedra fragilis,Fagus,Fraxinus excelsior,Fraxinus ornus,Galium,Hedera,Helianthemum,Hippophaë,Indeterminable undiff./spore,Juniperus,Olea,Ostrya,Picea,Pinus,Pistacia,Plantago lanceolata,Plantago undiff.,Poaceae,Poaceae (Cerealia-type),Poterium sanguisorba,Pteridiumspore,Quercus,Rhamnaceae,Rumex,Salix,Taxus,Thalictrum,Tilia,Ulmus,Unknown/spore,Unknown (monolete)spore,Unknown (trilete)spore,Viburnum,Vitis
1400,52972/42483/32036,--/32607/--,--/29635/--,3,,1,,1,8,2,61,1,4,1,,,5,1,,,1,,,5,,,1,3,,,5,,2,2,4,5,,,1,31,,,4,140,,,,8,,4,2,,,,,,,2,,
1420,54056/43278/32544,--/32875/--,--/30836/--,3,,3,,1,13,3,50,2,1,,,,1,,,,2,,,12,,,1,6,,,8,,1,,1,12,,,,30,,,,101,,,,27,,2,,,1,,3,,1,,2,
1440,55141/44074/33052,--/33142/--,--/32036/--,,,1,,,19,2,53,3,2,5,,,1,1,,,3,2,,4,,,,2,,,6,,1,2,,34,,,,17,,,2,118,,,,8,,,,,1,,,2,,2,,
1460,56225/44869/33560,--/33407/--,--/33237/--,,,5,2,1,20,6,66,,4,,,,7,1,1,,3,,,,,,,2,,,3,,7,4,1,7,,,5,44,,,6,121,,1,,9,,1,,,4,1,,1,,1,,
1480,57309/45664/34068,--/33671/--,--/34437/--,3,,5,,1,7,4,43,1,2,2,,,8,,,,2,3,,2,,,,1,,,3,,1,4,,2,,,5,35,,,1,92,,,1,13,,1,1,,4,,,,,2,,
1500,58394/46459/34577,--/33933/--,--/35637/--,,1,1,,3,10,7,38,,3,1,,,2,,1,,2,,,12,,,1,,,,4,,1,2,,16,,,1,19,,,2,118,,1,1,20,,2,2,,2,1,1,,,2,,
1520,59477/47255/35085,--/34194/--,--/36838/--,1,,5,,1,8,4,57,,2,,,,3,,,,2,,,2,,,1,1,,,2,,1,2,,19,,,,15,,,2,101,,,,5,,,,,5,,,2,,,,
1540,60562/48050/35594,--/34454/--,--/38038/--,,,7,,,15,3,48,,3,2,,,13,,1,,2,2,,4,,4,1,4,,,6,,,1,,3,,,,18,,,2,135,,,,8,,,1,,3,,,3,1,1,,
1560,61646/48845/36103,--/34712/--,--/39238/--,1,1,1,,,5,3,19,,5,2,,2,12,,,,1,,1,2,,,2,9,,,2,,2,,1,5,,,1,42,,,1,109,,,,39,,,3,,3,,1,,,,,
1575,62460/49442/36485,--/34904/--,--/39548/--,1,2,1,,2,4,2,29,2,5,1,,,8,,,,,,,7,,,1,3,,,7,1,,1,4,16,,,,15,,,,102,,,1,30,,1,2,,4,1,1,3,,1,,
1595,63544/50237/36994,--/35160/--,--/39960/--,,,3,,,23,2,73,1,,3,,,,,,,2,,,2,,,2,2,,,2,,1,,2,9,,,,16,,,,126,,,,6,,,,,,,,,1,,,
1615,64628/51032/37502,--/35414/--,--/40373/--,,,,,,4,6,23,1,50,1,,,1,,,,,,1,4,,,1,8,,,5,,1,,,5,,,,23,,,,164,,,,111,,4,7,,2,,1,4,2,,,
1635,65713/51827/38011,--/35667/--,--/40785/--,3,,1,,1,20,2,75,1,,2,,,1,,,,,,,4,,1,,7,,,1,,,1,,4,,,,13,,,1,116,,,,8,,3,,,2,,1,,,,1,
1650,66526/52424/38392,--/35856/--,--/41095/--,1,1,6,,2,,6,48,2,7,1,,1,1,,,,1,2,,10,,1,3,29,,,2,,1,,5,6,,,15,40,,,4,122,,,,43,,,,,,1,1,,2,4,,
1675,67881/53418/39029,--/36169/--,--/41413/--,5,1,2,,,4,10,24,1,7,,,2,7,,,,2,,,10,,,,22,3,,5,,1,1,1,3,,,1,29,,,1,53,,,,38,,3,1,,1,,2,5,,5,,
1695,68966/54213/39539,--/36418/--,--/41668/--,,1,,,,8,2,12,2,7,,,4,11,,,,1,1,1,3,1,,,14,2,,1,,1,,2,1,,1,,43,,,,78,,,,48,,1,,,2,,3,,,2,,
